Abstract_ID,Cluster_Ward,Cluster_AGNES
IVANITSKY2009101,1,1
CRANFORD2022100638,1,1
ZHAO2024109027,2,1
BALDWIN2012935,2,1
DINOV2008284,5,1
ZENG2019138,2,1
KAZANINA2023996,2,1
PATTON20051082,2,1
CHEN2023101343,4,1
REZAPOUR2024108003,2,1
KOLERS1984289,1,1
MORETTI1980145,1,1
JIANG201814,2,1
SELICATI2021124932,2,1
SCHACHTER2016261,2,1
PARKER20161,2,1
BICER2024101462,5,1
WOLFENGAGEN2024101185,1,1
OZTOP2022106240,2,1
UCAN2022104878,1,1
HOLMES201743,1,1
ABDELHAMID2023101986,2,1
BRADLEY2016277,1,1
YU2025109362,2,1
9534576,5,1
JARAETTINGER2016589,1,1
VANHARANTA2010425,1,1
EBBY200573,5,1
RIEBEL2024105084,2,1
SOLEIMANIJAVID2024113958,2,1
WANG2024121777,2,1
ZHU2023116444,2,1
ESCOLAGASCON2023111893,1,1
VELOSO2023104997,1,1
THANHEISER2024101176,5,1
BOYDDAVIS2018185,1,1
RICHARDSON2022100935,1,1
LIU2014330,2,1
WATKINS200867,1,1
LI2021101376,5,1
LAU2017241,1,1
CAKIROGLU2024101595,5,1
DERBEL2014731,2,1
LESSARD20071754,2,1
WINSTON201292,1,1
SCHIFERL1997249,2,1
KAVGA2023102837,2,1
MONRO199293,2,1
ALEXIOU2009623,1,1
PSYCHARIS201490,5,1
BOSCH2017,2,1
KUMAR20223122,2,1
HOOSHYAR2024122283,5,1
LEANZA20236716,2,1
CHAN2021e07922,5,1
MOTANIETO2023103965,5,1
SITTI2021101340,1,1
10216563,5,1
RAN2024102578,2,1
NAZEEM2010267,2,1
AUMER2024100111,1,1
FAUL2024255,1,1
SOHAIL201947,2,1
LUO202571,1,1
SCHWAB2018500,2,1
PEREZLOPEZ2024105162,2,1
ASH1984412,1,1
WU2025113281,5,1
ZHAO2025100817,5,1
CHRISTENSEN2016125,2,1
KAUFFMAN201525,2,1
ZHA2022104623,5,1
RZHETSKY20089,2,1
WANG20221,1,1
ADAMS201731,2,1
HARRY20228413,2,1
DEMIR2023101286,4,1
KRISHNANNAIR202437,5,1
8493700,5,1
MUSGRAVE2017137,1,1
BRENNAN2023100070,1,1
WANG2024104007,2,1
CEDERMAN2023102112,2,1
RAMIREZPEDRAZA2020293,1,1
CHANG2024103484,3,1
DECHENNE2022100932,5,1
SCHULZ2024210,1,1
KEMPF2023103747,2,1
SHIN2025101771,2,1
JIANG2024102530,1,1
NEVES2009834,2,1
RUIZ20221641,1,1
ROBERTS201648,1,1
HEIDELBERGER1996627,2,1
QAYYUM20231739,2,1
CSISZAR2020106530,1,1
MCCAIG2023100898,2,1
FERNYHOUGH20231180,1,1
SHIBATA2021436,2,1
COMPTON2018392,2,1
BEAR2020104057,1,1
TUCKER199223,1,1
NESI2024,1,1
LI2025112016,1,1
SHER1992505,1,1
JACKSON2012370,1,1
TAYLOR2010561,5,1
KAMEUGNE2025505,1,1
KIREEV1994143,2,1
SANCHEZ2023661,1,1
DANAHY2001127,2,1
PIERCE2024,1,1
RYDER2022100703,1,1
LIN2024200448,2,1
LI20151,1,1
MARTINEZMINGO2023101154,1,1
WANG2023458,1,1
LAVIGNE2007630,5,1
FEKETE2011807,1,1
HARDING2024893,1,1
VUQUOC20231069,2,1
HALES2023105083,1,1
NAKAKOJI2000451,2,1
ANDERSON2015283,1,1
LAKHLIFI2023104181,1,1
YOSHIOKA2024114985,2,1
MATSUDA2009970,2,1
MCLEAN2023104019,2,1
DEALMEIDA2022478,2,1
SCHEZSOBRINO2024100648,5,1
ALHARRASI201958,2,1
THOMPSON2024939,1,1
SESSIONS2022102549,1,1
LI20112824,1,1
BUSBY20161029,2,1
PAZZANI1991401,1,1
BURDICK2011546,2,1
QIAN2023110898,2,1
8712671,5,1
CRUTCHFIELD199411,1,1
NAGANANDHINI2019548,2,1
DECOUGNY1994157,2,1
BENTLEY20131240,1,1
RICHARDS2013113,5,1
ZHOU2021100972,1,1
LI2024117366,2,1
MOALLEMI2018205,2,1
BICER2021100960,5,1
LEON2009539,2,1
ZHENG2019109539,2,1
LACHANCE2001503,5,1
SALEMDEEB2022200069,2,1
ALBUS20101519,1,1
BAUM1997195,2,1
HAMALAINEN199619,2,1
KASTELLAKIS201519,1,1
TILLS2025111783,2,1
BOVE20031040,5,1
PALMER2024110848,2,1
YIN2022109800,2,1
